"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-031075-2","MS","MS - Sendust","75","31","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.1","3054","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031075-2"
"MS-031090-2","MS","MS - Sendust","90","37","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031090-2"
"MS-031090-8","MS","MS - Sendust","90","37","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031090-8"
"MS-031125-8","MS","MS - Sendust","125","52","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.54","11692","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031125-8"
"MS-031125-2","MS","MS - Sendust","125","52","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.54","24247","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031125-2"
"MS-031147-8","MS","MS - Sendust","147","62","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031147-8"
"MS-031147-2","MS","MS - Sendust","147","62","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031147-2"
"MS-031160-8","MS","MS - Sendust","160","66","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031160-8"
"MS-031160-2","MS","MS - Sendust","160","66","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031160-2"
"MS-039014-8","MS","MS - Sendust","14","6","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039014-8"
